Title,Main Price,Current Price,Store
" F&U FL24110 24"" Τηλεόραση LED",129.00,75.00,KOTSOVOLOS
" United UN3239LE 32"" Τηλεόραση LED",159.00,95.00,KOTSOVOLOS
" JVC LT24K383 24"" Τηλεόραση LED",129.00,109.00,KOTSOVOLOS
" F&U FL32109 32"" Τηλεόραση LED",149.00,109.00,KOTSOVOLOS
" Sharp 24CHF4012E 24"" Τηλεόραση LED",139.00,129.00,KOTSOVOLOS
" JVC LT32K383 32"" Τηλεόραση LED",189.00,129.00,KOTSOVOLOS
" LG 24TL520V 24"" Monitor-TV",149.00,129.00,KOTSOVOLOS
" F&U FLS32221 32"" Τηλεόραση Smart TV",199.00,139.00,KOTSOVOLOS
" LG 24TL520S 24"" Smart Monitor-TV",169.00,149.00,KOTSOVOLOS
" Sharp 32HI3122E 32"" Τηλεόραση LED",199.00,159.00,KOTSOVOLOS
" JVC LT32K583 32"" Τηλεόραση LED",199.00,159.00,KOTSOVOLOS
" LG 28TL520V 28"" Monitor-TV",179.00,159.00,KOTSOVOLOS
" JVC LT32K690 32"" Τηλεόραση Smart TV",249.00,179.00,KOTSOVOLOS
" LG 28TL520S 28"" Smart Monitor-TV",199.00,179.00,KOTSOVOLOS
" Philips 24HFL2889P/12 24"" Τηλεόραση LED",239.00,179.00,KOTSOVOLOS
" JVC LT40K583 40"" Τηλεόραση LED",249.00,179.00,KOTSOVOLOS
" F&U FLS39202 39"" Τηλεόραση Smart TV",269.00,179.00,KOTSOVOLOS
" Panasonic TX32GS350E 32"" Τηλεόραση Smart TV",279.00,179.00,KOTSOVOLOS
" JVC LT32K394 32"" Τηλεόραση Smart TV",249.00,179.00,KOTSOVOLOS
" F&U FLS32287WH 32"" Τηλεόραση Smart TV",229.00,185.90,KOTSOVOLOS
" Samsung UE28N4305 28"" Τηλεόραση Smart TV",249.00,189.00,KOTSOVOLOS
" Philips 32HFL2889S/12 32"" Τηλεόραση LED",279.00,189.00,KOTSOVOLOS
" Sharp 32BC5E 32"" Τηλεόραση Smart TV",329.00,189.00,KOTSOVOLOS
" F&U FLS32218 32"" Τηλεόραση Smart TV",199.00,199.00,KOTSOVOLOS
" Samsung UE32N4002 32"" Τηλεόραση LED",359.00,199.00,KOTSOVOLOS
" LG 32LM550 32"" Τηλεόραση LED",249.00,199.00,KOTSOVOLOS
" Samsung HG32EJ470NKXEN 32"" Τηλεόραση LED",359.00,219.00,KOTSOVOLOS
" Sharp 40BF2E 40"" Τηλεόραση LED",299.00,219.00,KOTSOVOLOS
" Samsung UE32T4302 32"" Τηλεόραση Smart TV",279.00,229.00,KOTSOVOLOS
" F&U FL2D4308UH 43"" Τηλεόραση Smart 4K TV",399.00,239.00,KOTSOVOLOS
" Philips 28HFL4014/12 28"" Τηλεόραση Smart TV",279.00,249.00,KOTSOVOLOS
" JVC LT50K583 50"" Τηλεόραση LED",349.00,249.00,KOTSOVOLOS
" Sharp 40BJ4E 40"" Τηλεόραση Smart 4K TV",349.00,259.00,KOTSOVOLOS
" Sharp 40BG2E 40"" Τηλεόραση Smart TV",389.00,269.00,KOTSOVOLOS
" Sharp 40AJ2E 40"" Τηλεόραση Smart 4K TV",399.00,269.00,KOTSOVOLOS
" F&U FL2D5006UH 50"" Τηλεόραση Smart 4K TV",379.00,269.00,KOTSOVOLOS
" Philips 32HFL2869T/12 32"" Τηλεόραση LED",270.00,270.00,KOTSOVOLOS
" F&U FLS43286WH 43"" Τηλεόραση Smart TV",349.00,279.00,KOTSOVOLOS
" JVC LT49K790 49"" Τηλεόραση Smart TV",349.00,279.00,KOTSOVOLOS
" LG 32LM630 32"" Τηλεόραση Smart TV",359.00,279.00,KOTSOVOLOS
" JVC LT43K890 43"" Τηλεόραση Smart 4K TV",499.00,279.00,KOTSOVOLOS
" Philips 32HFL5011T/12 32"" Hotel Τηλεόραση Smart TV",449.00,299.00,KOTSOVOLOS
" Samsung HG32EE460FKXEN 32"" Hotel Τηλεόραση LED",299.00,299.00,KOTSOVOLOS
" LG 32LK6200 32"" Τηλεόραση Smart TV",399.00,299.00,KOTSOVOLOS
" Samsung HG32EE590FKXEN 32"" Hotel Τηλεόραση Smart TV",469.00,299.00,KOTSOVOLOS
" Philips 32HFL4014/12 32"" Τηλεόραση Smart TV",309.00,299.00,KOTSOVOLOS
" Samsung UE32T5302 32"" Τηλεόραση Smart TV",329.00,299.00,KOTSOVOLOS
" F&U FL2D5507UH 55"" Τηλεόραση Smart 4K TV",419.00,299.00,KOTSOVOLOS
" Sony KDL32WE615 32"" Τηλεόραση Smart TV",479.00,299.00,KOTSOVOLOS
" Panasonic TX43FX550E 43"" Τηλεόραση Smart 4K TV",549.00,319.00,KOTSOVOLOS
" Sharp 40BL2EA 40"" Τηλεόραση Smart 4K TV",499.00,319.00,KOTSOVOLOS
" Philips 43PUS6554 43"" Τηλεόραση Smart 4K TV",429.00,319.00,KOTSOVOLOS
" Philips 43HFL5011T/12 43"" Hotel Τηλεόραση Smart TV",629.00,329.00,KOTSOVOLOS
" Samsung UE32N5302 32"" Τηλεόραση Smart TV",399.00,329.00,KOTSOVOLOS
" LG 43LK5100 43"" Τηλεόραση LED",349.00,329.00,KOTSOVOLOS
" Sharp 49BJ5E 49"" Τηλεόραση Smart 4K TV",449.00,329.00,KOTSOVOLOS
" JVC LT49K890 49"" Τηλεόραση Smart 4K TV",449.00,339.00,KOTSOVOLOS
" LG 43UM7100 43"" Τηλεόραση Smart 4K TV",569.00,339.00,KOTSOVOLOS
" Samsung HG32EF690DBXEN 32"" Hotel Τηλεόραση Smart TV",709.00,349.00,KOTSOVOLOS
" Panasonic TX49FX550E 49"" Τηλεόραση Smart 4K TV",599.00,349.00,KOTSOVOLOS
" JVC LT55K890 55"" Τηλεόραση Smart 4K TV",499.00,349.00,KOTSOVOLOS
" LG 43UM7450 43"" Τηλεόραση Smart 4K TV",599.00,349.00,KOTSOVOLOS
" Philips 50PUS6203 50"" Τηλεόραση Smart 4K TV",599.00,349.00,KOTSOVOLOS
" Philips 32HFL5014/12 32"" Τηλεόραση Smart TV",519.00,349.00,KOTSOVOLOS
" LG 43UM7050PLF 43"" Τηλεόραση Smart 4K TV",419.00,349.00,KOTSOVOLOS
" JVC LT40K890 40"" Τηλεόραση Smart 4K TV",399.00,359.10,KOTSOVOLOS
" LG 43UM7000 43"" Τηλεόραση Smart 4K TV",569.00,369.00,KOTSOVOLOS
" Philips 50PUS6554 50"" Τηλεόραση Smart 4K TV",499.00,369.00,KOTSOVOLOS
" Sony KDL40WE665 40"" Τηλεόραση Smart TV",729.00,369.00,KOTSOVOLOS
" Samsung UE43TU7072 43"" Τηλεόραση Smart 4K TV",449.00,369.00,KOTSOVOLOS
" JVC LT50K800 50"" Τηλεόραση Smart 4K TV",499.00,369.00,KOTSOVOLOS
" Sharp 50BL2EA 50"" Τηλεόραση Smart 4K TV",499.00,379.00,KOTSOVOLOS
" Samsung HG43EE690DBXEN 43"" Hotel Τηλεόραση Smart TV",709.00,399.00,KOTSOVOLOS
" Samsung HG40EE590SKXEN 40"" Hotel Τηλεόραση Smart TV",599.00,399.00,KOTSOVOLOS
" Philips 43HFL4014/12 43"" Τηλεόραση Smart TV",439.00,399.00,KOTSOVOLOS
" LG 50UM7450 50"" Τηλεόραση Smart 4K TV",799.00,399.00,KOTSOVOLOS
" Samsung UE43TU8072 43"" Τηλεόραση Smart 4K TV",489.00,399.00,KOTSOVOLOS
" JVC LT40K800 40"" Τηλεόραση Smart 4K TV",399.00,399.00,KOTSOVOLOS
" Philips 43HFL5014/12 43"" Τηλεόραση Smart TV",659.00,409.00,KOTSOVOLOS
" Philips 55PUS6503 55"" Τηλεόραση Smart 4K TV",699.00,419.40,KOTSOVOLOS
" LG 49UM7100 49"" Τηλεόραση Smart 4K TV",699.00,429.00,KOTSOVOLOS
" Panasonic TX55FX550E 55"" Τηλεόραση Smart 4K TV",699.00,429.00,KOTSOVOLOS
" Philips 58PUS6504 58"" Τηλεόραση Smart 4K TV",799.00,429.00,KOTSOVOLOS
" Samsung UE50TU7072 50"" Τηλεόραση Smart 4K TV",549.00,429.00,KOTSOVOLOS
" Samsung HG40EJ470MKXEN 40"" Τηλεόραση LED",549.00,449.00,KOTSOVOLOS
" Sharp 55BL2EA 55"" Τηλεόραση Smart 4K TV",699.00,449.00,KOTSOVOLOS
" Panasonic TX40GX810E 40"" Τηλεόραση Smart 4K TV",849.00,449.00,KOTSOVOLOS
" Philips 49HFL2889S/12 49"" Τηλεόραση LED",609.00,449.00,KOTSOVOLOS
" LG 55UM7050PLC 55"" Τηλεόραση Smart 4K TV",569.00,469.00,KOTSOVOLOS
" Sony KD43XG7096 43"" Τηλεόραση Smart 4K TV",799.00,469.00,KOTSOVOLOS
" LG 49UM7050PLF 49"" Τηλεόραση Smart 4K TV",479.00,479.00,KOTSOVOLOS
" Samsung UE43TU8502 43"" Τηλεόραση Smart 4K TV",679.00,489.00,KOTSOVOLOS
" Samsung UE55TU7072 55"" Τηλεόραση Smart 4K TV",649.00,489.00,KOTSOVOLOS
" Samsung HG49EE690 49"" Hotel Τηλεόραση Smart TV",799.00,499.00,KOTSOVOLOS
" Samsung HG43EJ470MKXEN 43"" Τηλεόραση LED",599.00,499.00,KOTSOVOLOS
" Sony KDL50WF665 50"" Τηλεόραση Smart TV",699.00,499.00,KOTSOVOLOS
" LG 55UM7450 55"" Τηλεόραση Smart 4K TV",1049.0,499.00,KOTSOVOLOS
" Panasonic TX50GX810E 50"" Τηλεόραση Smart 4K TV",999.00,499.00,KOTSOVOLOS
" Samsung UE50TU8072 50"" Τηλεόραση Smart 4K TV",599.00,499.00,KOTSOVOLOS
" Sony KD49XG7096 49"" Τηλεόραση Smart 4K TV",899.00,519.00,KOTSOVOLOS
" Samsung UE50RU7402 50"" Τηλεόραση Smart 4K TV",799.00,529.00,KOTSOVOLOS
" Philips 48HFL2869T/12 48"" Hotel Τηλεόραση LED",529.00,529.00,KOTSOVOLOS
" Samsung UE55TU8072 55"" Τηλεόραση Smart 4K TV",699.00,529.00,KOTSOVOLOS
" Sony KD43XG8196 43"" Τηλεόραση Smart 4K TV",949.00,549.00,KOTSOVOLOS
" Samsung HG43EJ670UBXEN 43"" Τηλεόραση Smart 4K TV",569.00,549.00,KOTSOVOLOS
" Panasonic TX58GX810E 58"" Τηλεόραση Smart 4K TV",1299.0,549.00,KOTSOVOLOS
" Philips 50HFL5014/12 50"" Τηλεόραση Smart TV",809.00,549.00,KOTSOVOLOS
" Samsung HG32EE694DKXEN 32"" Hotel Τηλεόραση Smart TV",569.00,569.00,KOTSOVOLOS
" Sony KD55XG7096 55"" Τηλεόραση Smart 4K TV",999.00,569.00,KOTSOVOLOS
" Philips 40HFL5011T/12 40"" Hotel Τηλεόραση Smart TV",599.00,599.00,KOTSOVOLOS
" Philips 50HFL4014/12 50"" Τηλεόραση Smart TV",649.00,599.00,KOTSOVOLOS
" Samsung HG49EJ670UBXEN 49"" Τηλεόραση Smart 4K TV",689.00,599.00,KOTSOVOLOS
" LG 49SM8200 49"" Τηλεόραση Smart 4K TV",899.00,599.00,KOTSOVOLOS
" Samsung UE50TU8502 50"" Τηλεόραση Smart 4K TV",829.00,599.00,KOTSOVOLOS
" Philips 50PUS6754 50"" Τηλεόραση Smart 4K TV",599.00,599.00,KOTSOVOLOS
" Sony KD49XG8196 49"" Τηλεόραση Smart 4K TV",1099.0,619.00,KOTSOVOLOS
" Panasonic TX65GX565E 65"" Τηλεόραση Smart 4K TV",899.00,629.00,KOTSOVOLOS
" Samsung HG49EJ690UBXEN 49"" Hotel Τηλεόραση Smart 4K TV",859.00,649.00,KOTSOVOLOS
" Samsung QLED QE43Q60RA 43"" Τηλεόραση Smart 4K TV",1099.0,649.00,KOTSOVOLOS
" LG 49SM8500 49"" Τηλεόραση Smart 4K TV",1299.0,649.00,KOTSOVOLOS
" Philips 50PUS7304 50"" Τηλεόραση Smart 4K TV",749.00,649.00,KOTSOVOLOS
" Samsung QLED QE43Q60TA 43"" Τηλεόραση Smart 4K TV",799.00,649.00,KOTSOVOLOS
" Sony KD55XG8196 55"" Τηλεόραση Smart 4K TV",1299.0,649.00,KOTSOVOLOS
" LG 65UM7450 65"" Τηλεόραση Smart 4K TV",1299.0,649.00,KOTSOVOLOS
" LG 49SM8050PLC 49"" Τηλεόραση Smart 4K TV",649.00,649.00,KOTSOVOLOS
" Samsung HG43EF690DBXEN 43"" Hotel Τηλεόραση Smart TV",669.00,669.00,KOTSOVOLOS
" Samsung UE65RU7402 65"" Τηλεόραση Smart 4K TV",1599.0,679.00,KOTSOVOLOS
" Samsung UE55RU7102 55"" Τηλεόραση Smart 4K TV",769.00,692.10,KOTSOVOLOS
" LG 55SM8200 55"" Τηλεόραση Smart 4K TV",999.00,699.00,KOTSOVOLOS
" LG 70UM7100 70"" Τηλεόραση Smart 4K TV",1599.0,699.00,KOTSOVOLOS
" Samsung HG55EJ670UBXEN 55"" Τηλεόραση Smart 4K TV",739.00,699.00,KOTSOVOLOS
" Samsung UE65TU7072 65"" Τηλεόραση Smart 4K TV",899.00,699.00,KOTSOVOLOS
" JVC LT65K800 65"" Τηλεόραση Smart 4K TV",699.00,699.00,KOTSOVOLOS
" Samsung QLED QE50Q60TA 50"" Τηλεόραση Smart 4K TV",999.00,699.00,KOTSOVOLOS
" Samsung UE55TU8502 55"" Τηλεόραση Smart 4K TV",949.00,699.00,KOTSOVOLOS
" Philips 43HFL6014U/12 43"" Τηλεόραση Smart 4K TV",739.00,739.00,KOTSOVOLOS
" Samsung HG49EE590HKXEN 49"" Hotel Τηλεόραση Smart TV",749.00,749.00,KOTSOVOLOS
" Samsung HG55EJ690UBXEN 55"" Hotel Τηλεόραση Smart 4K TV",1099.0,749.00,KOTSOVOLOS
" Sony KD55XF9005 55"" Τηλεόραση Smart 4K TV",1649.0,749.00,KOTSOVOLOS
" Philips 55PUS7304 55"" Τηλεόραση Smart 4K TV",849.00,749.00,KOTSOVOLOS
" LG 55SM8500 55"" Τηλεόραση Smart 4K TV",1199.0,749.00,KOTSOVOLOS
" Samsung HG43EE694DKXEN 43"" Hotel Τηλεόραση Smart TV",759.00,759.00,KOTSOVOLOS
" Samsung QLED QE55Q60RA 55"" Τηλεόραση Smart 4K TV",1199.0,769.00,KOTSOVOLOS
" Samsung HG55EE690DBXEN 55"" Hotel Τηλεόραση Smart TV",1069.0,799.00,KOTSOVOLOS
" Samsung UE65TU8072 65"" Τηλεόραση Smart 4K TV",949.00,799.00,KOTSOVOLOS
" LG 55SM8050PLC 55"" Τηλεόραση Smart 4K TV",799.00,799.00,KOTSOVOLOS
" Panasonic TX65GX810E 65"" Τηλεόραση Smart 4K TV",1699.0,799.00,KOTSOVOLOS
" Philips 70PUS7304 70"" Τηλεόραση Smart 4K TV",1299.0,799.00,KOTSOVOLOS
" Samsung QLED QE55Q60TA 55"" Τηλεόραση Smart 4K TV",1199.0,799.00,KOTSOVOLOS
" Samsung HG49EF690DBXEN 49"" Hotel Τηλεόραση Smart TV",829.00,829.00,KOTSOVOLOS
" Samsung HG49EE694DKXEN 49"" Hotel Τηλεόραση Smart TV",839.00,839.00,KOTSOVOLOS
" Philips 55HFL2899S/12 55"" Τηλεόραση 4K TV",839.00,839.00,KOTSOVOLOS
" Sony KD65XG7096 65"" Τηλεόραση Smart 4K TV",1249.0,849.00,KOTSOVOLOS
" Philips 50HFL6014U/12 50"" Τηλεόραση Smart 4K TV",869.00,869.00,KOTSOVOLOS
" Sony KD43XH8196 43"" Τηλεόραση Smart 4K TV",869.00,869.00,KOTSOVOLOS
" Samsung HG40EE694DKXEN 40"" Hotel Τηλεόραση Smart TV",889.00,889.00,KOTSOVOLOS
" Philips 65PUS7304 65"" Τηλεόραση Smart 4K TV",999.00,899.00,KOTSOVOLOS
" Sony KD49XG9005 49"" Τηλεόραση Smart 4K TV",1549.0,949.00,KOTSOVOLOS
" Sony KD65XG8196 65"" Τηλεόραση Smart 4K TV",1849.0,949.00,KOTSOVOLOS
" Samsung UE65TU8502 65"" Τηλεόραση Smart 4K TV",1349.0,949.00,KOTSOVOLOS
" Sony KD49XH8196 49"" Τηλεόραση Smart 4K TV",969.00,969.00,KOTSOVOLOS
" LG NanoCell 49NANO816NA 49"" Τηλεόραση Smart 4K TV",979.00,979.00,KOTSOVOLOS
" Philips 49HFL7011T 49"" Hotel Τηλεόραση Smart 4K TV",989.00,989.00,KOTSOVOLOS
" Samsung HG55EF690DBXEN 55"" Hotel Τηλεόραση Smart TV",989.00,989.00,KOTSOVOLOS
" LG 55SM9010 55"" Τηλεόραση Smart 4K TV",1799.0,999.00,KOTSOVOLOS
" Samsung QLED QE55Q70TA 55"" Τηλεόραση Smart 4K TV",1399.0,999.00,KOTSOVOLOS
" LG 65SM8050PLC 65"" Τηλεόραση Smart 4K TV",999.00,999.00,KOTSOVOLOS
" LG NanoCell 49NANO866NA 49"" Τηλεόραση Smart 4K TV",1039.00,1039.00,KOTSOVOLOS
" Sony KD55XH8196 55"" Τηλεόραση Smart 4K TV",1049.00,1049.00,KOTSOVOLOS
" Samsung UE49RU8002 49"" Τηλεόραση Smart 4K TV",1199.0,1079.10,KOTSOVOLOS
" Samsung QLED QE55Q70RA 55"" Τηλεόραση Smart 4K TV",1799.0,1099.00,KOTSOVOLOS
" Sony KD55XG9505 55"" Τηλεόραση Smart 4K TV",2049.0,1099.00,KOTSOVOLOS
" Philips 55HFL6014U/12 55"" Τηλεόραση Smart 4K TV",1119.00,1119.00,KOTSOVOLOS
" LG 70UM7450 70"" Τηλεόραση Smart 4K TV",1799.0,1149.00,KOTSOVOLOS
" Samsung UE75TU7072 75"" Τηλεόραση Smart 4K TV",1499.0,1149.00,KOTSOVOLOS
" LG NanoCell 55NANO816NA 55"" Τηλεόραση Smart 4K TV",1159.00,1159.00,KOTSOVOLOS
" Samsung HG65EJ690UBXEN 65"" Hotel Τηλεόραση Smart 4K TV",2299.0,1199.00,KOTSOVOLOS
" Philips 55OLED754 55"" Τηλεόραση Smart 4K TV",1999.0,1199.00,KOTSOVOLOS
" LG 75UM7110 75"" Τηλεόραση Smart 4K TV",1999.0,1199.00,KOTSOVOLOS
" Panasonic OLED TX55GZ950E 55"" Τηλεόραση Smart 4K TV",2299.0,1199.00,KOTSOVOLOS
" Samsung QLED QE65Q60TA 65"" Τηλεόραση Smart 4K TV",1599.0,1199.00,KOTSOVOLOS
" Philips 55HFL7011T 55"" Hotel Τηλεόραση Smart 4K TV",1289.00,1289.00,KOTSOVOLOS
" Sony KD65XF9005 65"" Τηλεόραση Smart 4K TV",2599.0,1299.00,KOTSOVOLOS
" Sony KD75XG8096 75"" Τηλεόραση Smart 4K TV",2549.0,1299.00,KOTSOVOLOS
